Atributo;Nome Gerencial;O que é;Categoria DRE - Sintético;Categoria DRE - Analítico
Vigencia;Quinzena;Quinzena de validade da linha. Cada cargo administrativo tem uma linha por vigência, e é a comparação entre elas que mostra o que mudou na estrutura remunerada.;Cadastral (não entra na DRE);Cadastro — Vigência
Unidade - CNPJ;CNPJ da Unidade;CNPJ da unidade Ambev a que a estrutura administrativa está vinculada.;Cadastral (não entra na DRE);Cadastro — Unidade
Unidade - Nome;Nome da Unidade;Nome da unidade (fábrica ou CDD) cuja estrutura administrativa é remunerada aqui.;Cadastral (não entra na DRE);Cadastro — Unidade
Unidade SAP;Codigo da unidade;Código da unidade no SAP — chave de conciliação com o razão contábil.;Cadastral (não entra na DRE);Cadastro — Unidade
Unidade TMS;Código TMS da Unidade;Código da mesma unidade no TMS.;Cadastral (não entra na DRE);Cadastro — Unidade
Unidade - Promax UNB;UNB Promax da Unidade;Código da unidade de negócio no Promax.;Cadastral (não entra na DRE);Cadastro — Unidade
Unidade - Regional;Regional da Unidade;Regional a que a unidade pertence — o nível em que a estrutura é comparada entre operações.;Cadastral (não entra na DRE);Cadastro — Unidade
Operador - CNPJ;CNPJ do Transportador;"CNPJ da transportadora cuja estrutura administrativa é remunerada. É dela a folha; a Ambev remunera a estrutura dentro do modelo.";Cadastral (não entra na DRE);Cadastro — Operador
Operador - Nome;Nome do Transportador;Razão social da transportadora.;Cadastral (não entra na DRE);Cadastro — Operador
Operador - SAP;Codigo do Transportador;Código da transportadora como fornecedora no SAP — chave do pagamento.;Cadastral (não entra na DRE);Cadastro — Operador
Operador - TMS;Código TMS do Transportador;Código da transportadora no TMS.;Cadastral (não entra na DRE);Cadastro — Operador
Operador - Promax;Código Promax do Transportador;Código da transportadora no Promax.;Cadastral (não entra na DRE);Cadastro — Operador
Organizacao de Compras;Organização de Compras;Organização de compras (SAP) sob a qual o contrato foi firmado.;Cadastral (não entra na DRE);Cadastro — Contrato
Prazo Pagamento;Prazo de Pagamento;Condição de pagamento acordada, em dias. Muda o caixa, não o resultado.;Cadastral (não entra na DRE);Cadastro — Contrato
Cargo;CARGO REMUNERADO;O cargo administrativo remunerado nesta linha — supervisor, analista, auxiliar. **É a chave da tabela**: cada linha é um cargo do quadro, e não uma pessoa. Quem diz quantas pessoas há é a coluna Quantidade correspondente.;Cadastral (não entra na DRE);Cadastro — Cargo
Despesa Benefício;CALCULO DO BENEFICIO REMUNERADO MULTIPLICADO PELA QUANTIDADE DE BENEFICIOS REMUNERADOS;Benefícios do cargo em reais: Valor Benefício × Quantidade Benefício. É montante — e é uma das seis despesas que efetivamente somam nesta tabela.;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Benefícios
Despesa Encargos;CALCULO DO ENCARGO REMUNERADO;Encargos e provisões do cargo em reais — INSS, FGTS, férias, 13º e reflexos sobre os ordenados. Montante.;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Encargos e provisões
Despesa Frota Leve;CALCULO DE FROTA LEVE REMUNERADO;Frota leve em reais: os veículos de apoio da estrutura administrativa (carro do supervisor, utilitário da operação), não o cavalo nem a carreta. Montante.;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Frota leve
Despesa Ordenados;CALCULO DE SALARIO ORDENADO POR QUANTIDADES ORDENADAS DO QLP;Ordenados do cargo em reais: Salário Ordenados × Quantidade Ordenados. É a maior das seis despesas, e a que o benchmark do QLP audita.;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Ordenados
Despesa Telefonia;CALCULO DE TELEFONIA REMUNERADA;Telefonia em reais — linhas e aparelhos da estrutura administrativa. Montante.;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Telefonia
Despesa Uniformes;CALCULO DE UNIFORMES REMUNERADA;Uniformes da estrutura administrativa em reais. Montante. Não confundir com o EPI da equipe operacional, que vive na tabela de equipe (totalUniformeEPI).;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Uniformes
QLP Benchmark Quantidade;QUANTIDADE BENCHMARK;Quantidade de referência do cargo — quantas pessoas o padrão da operação prevê, contra as que o quadro tem. **É a régua da auditoria bimestral do QLP ADM**: a diferença entre benchmark e realizado é o que vira não conformidade, e a consequência financeira dela está no bloco DESCONTO QLP ADM do Book.;Benchmark (não entra na DRE);Benchmark QLP — Quadro de referência
QLP Benchmark Salário;SALARIO BENCHMARK;"Salário de referência do cargo. No Freightech vem de uma matriz por faixas (0, 15, 30, 50, 60, 70, 80 — a sequência é irregular de propósito, não faltam faixas); o export traz o valor já resolvido para o cargo.";Benchmark (não entra na DRE);Benchmark QLP — Salário de referência
Quantidade Benefício;QUANTIDADE DE BENEFICIO REMUNERADO;Quantos benefícios são remunerados no cargo. É o multiplicador de Valor Benefício — não é dinheiro.;Direcionador (não entra na DRE);Estrutura ADM — Benefícios
